sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2023 PPR  1581750","2023 PPR  1581750","","15/10/2022","**","","-199.00","0.00","NZD","0.00","2023","202303","PPR","1581750 ITR","","09/09/2022","09/09/2022","ACE.006918769.0000002","2023.PPR.1581750","","0.00","","CG Invoices to be received account"
"","2023 PPR  1583800","2023 PPR  1583800","","15/10/2022","**","","-199.00","0.00","NZD","0.00","2023","202303","PPR","1583800 ITR","","14/09/2022","14/09/2022","ACE.006919685.0000002","2023.PPR.1583800","","0.00","","CG Invoices to be received account"
"","2023 PPR  1585135","2023 PPR  1585135","","15/10/2022","**","","398.00","0.00","NZD","0.00","2023","202303","PPR","1585135 ITR","","16/09/2022","16/09/2022","ACE.006902019.0000009","2023.PPR.1585135","","0.00","","CG Invoices to be received account"
"","2023 PPR  1586426","2023 PPR  1586426","","15/10/2022","**","","-199.00","0.00","NZD","0.00","2023","202303","PPR","1586426 ITR","","20/09/2022","20/09/2022","ACE.006920826.0000002","2023.PPR.1586426","","0.00","","CG Invoices to be received account"
"","2023 PPR  1586458","2023 PPR  1586458","","15/10/2022","**","","-398.00","0.00","NZD","0.00","2023","202303","PPR","1586458 ITR","","20/09/2022","20/09/2022","ACE.006920841.0000002","2023.PPR.1586458","","0.00","","CG Invoices to be received account"
"","2023 PPR  1589108","2023 PPR  1589108","","15/10/2022","**","","-398.00","0.00","NZD","0.00","2023","202303","PPR","1589108 ITR","","27/09/2022","27/09/2022","ACE.006921956.0000002","2023.PPR.1589108","","0.00","","CG Invoices to be received account"
"","2023 PPR  1592210","2023 PPR  1592210","","15/11/2022","**","","-398.00","0.00","NZD","0.00","2023","202304","PPR","1592210 ITR","","04/10/2022","04/10/2022","ACE.006923426.0000002","2023.PPR.1592210","","0.00","","CG Invoices to be received account"
"","2023 PPR  1593751","2023 PPR  1593751","","15/11/2022","**","","-199.00","0.00","NZD","0.00","2023","202304","PPR","1593751 ITR","","07/10/2022","07/10/2022","ACE.006924255.0000002","2023.PPR.1593751","","0.00","","CG Invoices to be received account"
"","2023 PPR  1594741","2023 PPR  1594741","","15/11/2022","**","","398.00","0.00","NZD","0.00","2023","202304","PPR","1594741 ITR","","10/10/2022","10/10/2022","ACE.006912133.0000005","2023.PPR.1594741","","0.00","","CG Invoices to be received account"
"","2023 PPR  1599480","2023 PPR  1599480","","15/11/2022","**","","-199.00","0.00","NZD","0.00","2023","202304","PPR","1599480 ITR","","21/10/2022","21/10/2022","ACE.006927055.0000002","2023.PPR.1599480","","0.00","","CG Invoices to be received account"
